alt_01D0_x_interp,alt_01D0_smoothed_curve,altMPI_01D0_x_interp,altMPI_01D0_smoothed_curve,asc_01D0_x_interp,asc_01D0_smoothed_curve,ato_01D0_x_interp,ato_01D0_smoothed_curve,azr_01D0_x_interp,azr_01D0_smoothed_curve,bal_01D0_x_interp,bal_01D0_smoothed_curve,bikMPI_01D0_x_interp,bikMPI_01D0_smoothed_curve,brw_01D0_x_interp,brw_01D0_smoothed_curve,brwIMAU_01D0_x_interp,brwIMAU_01D0_smoothed_curve,bsc_01D0_x_interp,bsc_01D0_smoothed_curve,cba_01D0_x_interp,cba_01D0_smoothed_curve,cgo_01D0_x_interp,cgo_01D0_smoothed_curve,cgoIMAU_01D0_x_interp,cgoIMAU_01D0_smoothed_curve,cvoMPI_01D0_x_interp,cvoMPI_01D0_smoothed_curve,eom_01D0_x_interp,eom_01D0_smoothed_curve,gvnMPI_01D0_x_interp,gvnMPI_01D0_smoothed_curve,gvnIMAU_01D0_x_interp,gvnIMAU_01D0_smoothed_curve,jfjMPI_01D0_x_interp,jfjMPI_01D0_smoothed_curve,kjnMPI_01D0_x_interp,kjnMPI_01D0_smoothed_curve,kum_01D0_x_interp,kum_01D0_smoothed_curve,lef_01D0_x_interp,lef_01D0_smoothed_curve,mhd_01D0_x_interp,mhd_01D0_smoothed_curve,mlo_01D0_x_interp,mlo_01D0_smoothed_curve,mloIMAU_01D0_x_interp,mloIMAU_01D0_smoothed_curve,namMPI_01D0_x_interp,namMPI_01D0_smoothed_curve,nyaNIPR_01D0_x_interp,nyaNIPR_01D0_smoothed_curve,oxkMPI_01D0_x_interp,oxkMPI_01D0_smoothed_curve,sisMPI_01D0_x_interp,sisMPI_01D0_smoothed_curve,smo_01D0_x_interp,smo_01D0_smoothed_curve,smoIMAU_01D0_x_interp,smoIMAU_01D0_smoothed_curve,spo_01D0_x_interp,spo_01D0_smoothed_curve,syoNIPR_01D0_x_interp,syoNIPR_01D0_smoothed_curve,vrsMPI_01D0_x_interp,vrsMPI_01D0_smoothed_curve,zep_01D0_x_interp,zep_01D0_smoothed_curve,zepIMAU_01D0_x_interp,zepIMAU_01D0_smoothed_curve,zotMPI_01D0_x_interp,zotMPI_01D0_smoothed_curve
2005.626274734,-80.35073712738385,2011.590407,-82.28161325102987,2005.584570015,-71.50879006795734,2021.881589,-80.42478144671063,2005.801826484,-83.15530558777891,2005.668660578,-85.20647475858378,2013.317078,-88.58086244248753,2005.48766172,-83.20009558972862,2022.580822,-90.61711023129779,2005.389916286,-88.98603153383411,2005.733333333,-85.57416638889893,2005.964902968,-68.34796983865087,2023.224658,-78.46092374630209,2011.348849,-80.73857852092665,2006.939348,-73.3928146121245,2018.316736,-71.81792956780109,1997.07945,-74.062389032422,2013.719142,-79.13557623931197,2015.009583,-87.76882404222992,2005.813245814,-78.90057057245653,2005.607431507,-89.62176473459124,2005.957420091,-87.49979321216966,2005.550228311,-73.38223295846188,2023.465753,-86.33746302945974,2013.408739,-69.96345511587711,2005.89138,-85.29815585358831,2013.600902,-85.57413393026515,2011.150526,-85.62222413978346,2005.698635845,-69.22449589551115,2022.728767,-79.07935092912676,2005.287473364,-64.4599569210104,1996.96071,-76.66972818187932,2020.362424,-86.75110495871921,2008.695630313,-82.07094291283899,2012.84699,-87.50361565014576,2010.571641,-89.68687347628034
2005.645711568,-81.40050189190714,2011.631817,-83.83373970176238,2005.685958904,-70.85521129149612,2021.900754,-80.27589930364412,2005.821004566,-83.39676959040075,2005.747895738,-87.55235838596417,2013.330768,-88.74354528739407,2005.498023212,-83.31143797309065,2022.580822,-90.61711023129779,2005.40913242,-89.5845968903567,2005.74446347,-85.65694481816054,2005.989121005,-68.45873228831496,2023.238356,-78.31415606007133,2011.359915,-80.66623694665867,2006.939431,-73.39168180544937,2018.342574,-71.94819964602833,1998.0411,-74.66226884854856,2013.75867,-80.0540959078975,2015.032285,-87.80736212492566,2005.832486682,-79.03515124340755,2005.626584855,-90.16985604740094,2005.965658295,-87.45429138558335,2005.588593988,-72.56614931014876,2023.484932,-86.06644378689087,2013.572668,-70.78003838125998,2005.90794,-85.08745820347357,2013.620067,-85.99665052428098,2011.178645,-85.4755320641774,2005.720624049,-68.78240049213522,2022.728767,-79.07935092912676,2005.331872146,-65.38595620185475,1997.08937,-74.30353226727546,2020.383985,-86.48689021139256,2008.713930631,-82.68060878529393,2012.86612,-87.4808571614849,2010.57974,-89.88733928814342
2005.645730594,-81.40155169098064,2011.706481,-86.25037392796332,2005.7,-70.67059368642231,2022.090179,-81.37888802413337,2005.840182648,-83.569827728896,2005.75212519,-87.64107678693274,2013.373033,-88.9371540968488,2005.498611111,-83.317755410371,2022.6,-90.53961947959444,2005.428281963,-90.05730568806678,2005.763694825,-85.72323449935247,2006.005549848,-68.40238236109086,2023.238356,-78.31415606007133,2011.432182,-80.32691693675427,2007.062948,-72.52156628533422,2018.364477,-72.0301414409348,1998.15068,-74.07398758352915,2013.796886,-81.31389283767211,2015.056469,-87.86936800262403,2005.870768645,-78.9620317545691,2005.68423516,-90.7984757432953,2006.042399163,-84.35782316572796,2005.624233257,-72.68270444010109,2023.484932,-86.06644378689087,2013.595769,-70.79168431192467,2005.95493,-84.42012346934067,2013.639346,-86.44717469806736,2011.19781,-85.39886822803156,2005.739811644,-68.39613524016718,2022.745205,-79.15114112535939,2005.342732116,-65.72170788931207,1997.28651,-74.73445435454457,2020.403149,-86.24454792369782,2008.831692092,-85.21188238661045,2012.88525,-87.47519413056226,2010.589836,-90.09338352209122
2005.665203577,-82.44825602561689,2011.81993,-87.7431754196779,2005.705422374,-70.59929827603074,2022.147674,-92.63866403573066,2005.859360731,-83.5693509638858,2005.761727549,-87.83114561112919,2013.400412,-88.95912597677994,2005.517273592,-83.70889392619053,2022.6,-90.53961947959444,2005.447526636,-90.40895975740659,2005.829708904,-85.21269314042283,2006.060606925,-67.79784987526497,2023.260274,-78.03860319274023,2011.454085,-80.33984008972773,2007.063026,-72.52223414497485,2018.389917,-72.13762194604482,1999.03562,-72.53894631107792,2013.87212,-83.58704515032454,2015.067078,-87.8965686458797,2005.928304795,-79.05286435768001,2005.722572298,-90.0094275725403,2006.179223744,-82.19144341743535,2005.703651065,-75.39455815981711,2023.564384,-83.47373549204448,2013.603982,-70.79590147060091,2005.97156,-84.21562254995514,2013.658511,-86.88143112507633,2011.217204,-85.32724341973896,2005.767161339,-67.76427552503341,2022.745205,-79.15114112535939,2005.364381659,-66.5931651010561,1998.05923,-73.6168681344201,2020.420774,-86.01947158737178,2008.848009639,-85.21959050272731,2012.90437,-87.48554697093647,2010.59805,-90.2408603719736
2005.665226408,-82.4494418837821,2011.856948,-87.74344394041438,2005.718835616,-70.43895358373338,2022.459104,-95.42712642340456,2006.377054795,-80.68264495237754,2005.790483257,-88.26753517192485,2013.414101,-88.76438841819864,2005.582943303,-86.29587644770872,2022.6,-90.53961947959444,2005.466571537,-90.07696573432575,2005.848902207,-85.04055916415741,2006.109509132,-67.7064692605056,2023.334247,-77.71521982979267,2011.462413,-80.36597126666587,2007.063102,-72.52288488000936,2018.414557,-72.2835953501101,1999.4411,-75.32388716938438,2013.910564,-83.85318667521828,2015.090521,-87.88422925761819,2005.947446728,-79.1857285770028,2005.741723744,-89.45119647464514,2006.195776256,-82.2913671478101,2005.722840563,-76.11016052767944,2023.564384,-83.47373549204448,2013.617101,-70.82055318652554,2005.9937,-84.00672667464805,2013.67625,-87.269444576023,2011.238992,-85.24136316333208,2005.794600457,-67.20204712440238,2022.745205,-79.15114112535939,2005.370319635,-66.8325834129791,1998.12772,-73.28716888139246,2020.431383,-85.89362028009765,2008.886323619,-85.01721619002268,2012.9235,-87.50429976172997,2010.609001,-90.32842227019704
2005.684583333,-83.44786510863737,2011.973136,-87.66948958373594,2005.724343607,-70.37725409162317,2022.786962,-88.70267905785383,2006.390839041,-80.29182914727366,2005.798601598,-88.37075897335646,2013.456366,-88.03474653847265,2005.651417428,-89.26668162457955,2022.6,-90.53961947959444,2005.60087519,-89.70749533621522,2005.862442922,-84.93034211022238,2006.139648021,-67.74128011054667,2023.334247,-77.71521982979267,2011.497891,-80.61699147689804,2007.06318,-72.52355273964997,2018.436745,-72.45723354753824,1999.99178,-74.16628293655239,2013.991159,-83.28373101817344,2015.122919,-87.78236439531008,2005.966609589,-79.44741851615291,2005.760939878,-88.80908311360115,2006.23413242,-82.4374815384584,2005.799562405,-76.82567350912775,2023.643836,-82.16920200911359,2013.625885,-70.83705906903789,2006.00995,-83.89851143294989,2013.714352,-87.92542803343332,2011.275668,-85.07057786924709,2005.819244673,-66.7916878695081,2022.745205,-79.15114112535939,2005.370338661,-66.83335053847892,1998.20991,-74.0512493232899,2020.439939,-85.79406967354775,2008.905320279,-84.76474786764415,2012.94262,-87.51962074605825,2010.61961,-90.40003311398308
2005.705842846,-84.28646759802166,2012.01004,-88.17869110844644,2005.738013699,-70.2315368837376,2022.789015,-88.60971042582327,2006.415410959,-79.59515746017573,2005.819292237,-88.62550180828745,2013.483745,-87.81161502490974,2005.652045282,-89.29158834498051,2022.630137,-91.13821259948722,2005.619977169,-90.3062970755243,2005.91755137,-84.97862421503619,2006.156563927,-67.78060656002782,2023.350685,-78.01082067749809,2011.515516,-80.82585079122435,2007.063256,-72.52420347468254,2018.462527,-72.69248164517468,2001.23562,-72.02630679680114,2014.025097,-82.96699747465144,2015.142541,-87.67080277974169,2005.988515982,-79.73858174292798,2005.895176941,-88.53397130621602,2006.25336758,-82.29140602702702,2005.818723364,-76.59751248920466,2023.643836,-82.16920200911359,2013.633985,-70.85227965742041,2006.02844,-83.82749200077615,2013.733402,-88.17928222394603,2011.292666,-84.9839979066741,2005.8769121,-66.57343502008924,2022.772603,-79.3076912990997,2005.381227169,-67.2723735666501,1998.31665,-75.035700603374,2020.447696,-85.70381557642372,2008.924449757,-84.51051437509295,2012.96175,-87.51853582880362,2010.628395,-90.3785803930611
2005.70585997,-84.28714307111181,2012.053617,-89.10087980451192,2005.76538242,-70.0103022927346,2022.956366,-85.27983135066147,2006.453767123,-78.59416507212026,2005.82901446,-88.74137980470252,2013.497434,-87.72066465894741,2005.689733638,-90.24861740886188,2022.630137,-91.13821259948722,2005.639136225,-90.90688804340706,2005.923318113,-85.02014375371168,2006.175487062,-67.8245994571631,2023.350685,-78.01082067749809,2011.534795,-81.09890847632049,2007.063336,-72.52488845892928,2018.486825,-72.92201765456892,2002.69589,-73.53340576095701,2014.063541,-82.75625770916562,2015.168493,-87.46087149126004,2006.013245814,-80.00106559492991,2005.914478691,-88.89789179953831,2006.29423516,-81.64167868236818,2005.837895738,-76.28842255526183,2023.643836,-82.16920200911359,2013.644936,-70.89137813732523,2006.048,-83.79358028732652,2013.753879,-88.36480997825264,2011.31377,-84.87966687362608,2005.895576484,-66.7640296019303,2022.772603,-79.3076912990997,2005.413957382,-68.05247362674749,1998.3687,-75.50888770914642,2020.459104,-85.59791036910114,2008.943736718,-84.06312245486434,2012.98087,-87.49001621970666,2010.635923,-90.36019723049958
2005.727773973,-84.87213534183331,2012.085274,-89.7777230836616,2005.822945205,-69.6493828592567,2022.975531,-85.20809271817737,2006.472945205,-78.11134869559615,2005.838599696,-88.86155381159266,2013.664101,-91.86426905656849,2005.7280879,-90.66948439408573,2022.657534,-92.08099760097717,2005.696641933,-90.66910806012787,2005.936339422,-85.12540495098631,2006.205742009,-67.49352999917767,2023.350685,-78.01082067749809,2011.553846,-81.3913544952362,2007.063414,-72.5255563185699,2018.511979,-73.140306741586,2003.71507,-74.50815851397803,2014.18355,-81.8284246268895,2015.300537,-86.5644989242233,2006.024233257,-80.1170019390464,2005.936251903,-89.30147839621247,2006.313356164,-81.19951028009149,2005.876305175,-75.7547847738818,2023.643836,-82.16920200911359,2013.678874,-71.0279808482263,2006.0645,-83.79130297760918,2013.773044,-88.46057235372999,2011.327345,-84.81669496864858,2005.917513318,-67.00691191534379,2022.772603,-79.3076912990997,2005.41396309,-68.05260962886048,1998.47829,-76.50144776755589,2020.478269,-85.43644243131996,2009.039316971,-80.70054211774112,2013.0,-87.42749858136787,2010.64756,-90.28149452165229
2005.741552511,-85.13684479546346,2012.123604,-90.34679524225326,2005.839383562,-69.52184818173548,2023.012321,-85.07037999764204,2006.492123288,-77.6285322939026,2005.848183029,-88.98686790400595,2013.678988,-92.42457937258645,2005.74739726,-90.55082121914651,2022.657534,-92.08099760097717,2005.735017123,-89.05081624655818,2005.944710807,-85.22493655497004,2006.243759513,-67.04788995754132,2023.350685,-78.01082067749809,2011.570273,-81.65171479054816,2007.063494,-72.52624130281664,2018.536619,-73.32137614561802,2004.15574,-71.32033225937032,2014.297,-82.07793316269134,2015.317421,-86.42206939705434,2006.046078767,-80.03425858482852,2005.952598935,-89.36847911195258,2006.332667428,-80.7290331125711,2005.876314688,-75.75467363636308,2023.643836,-82.16920200911359,2013.69781,-71.11367567461714,2006.08322,-83.81081914613368,2013.792095,-88.49975786452947,2011.351473,-84.71347838895825,2005.936582953,-67.34449938708515,2022.786301,-79.39825889404696,2005.419611872,-68.1867853720621,1998.54131,-77.06576019359362,2020.497434,-85.37644063068586,2009.058508371,-79.85987103649624,2013.03836,-87.20344096160972,2010.656116,-90.20165083661013
