site,period,metric,start_year,end_year,n_years,mean_sca,slope_per_year,slope_per_decade,ci95_low,ci95_high,ci95_low_per_decade,ci95_high_per_decade,p_value,r2,sen_slope_per_year,sen_slope_per_decade,sen_intercept,sen_ci95_low,sen_ci95_high,sen_ci95_low_per_decade,sen_ci95_high_per_decade
MID,2016_2022,sca_detrended_range,2016,2022,7,0.3496334180183709,0.004144517574475826,0.041445175744758256,-0.05001891426543842,0.058307949414390076,-0.5001891426543842,0.5830794941439008,0.8518094121364582,0.007678578957997617,0.0036666666666652268,0.03666666666665227,-7.039938010550131,-0.09598450263825958,0.08449999999999847,-0.9598450263825958,0.8449999999999847
MLO,2016_2022,sca_detrended_range,2016,2022,7,0.2661171957960714,0.011422552911088004,0.11422552911088005,-0.04033567839785927,0.06318078422003529,-0.40335678397859276,0.6318078422003528,0.5950301055818943,0.06047406208458217,0.011361049383679036,0.11361049383679037,-22.684210372288653,-0.10516629630207319,0.07621654629817104,-1.051662963020732,0.7621654629817104
NWR,2016_2022,sca_detrended_range,2016,2022,7,0.28992739090966474,0.005849932541778578,0.05849932541778578,-0.023144761317035186,0.03484462640059234,-0.23144761317035187,0.3484462640059234,0.6261414065701641,0.051050569900853326,0.006699921298740937,0.06699921298740937,-13.248542518780638,-0.024566902770442805,0.0550997638962229,-0.24566902770442806,0.550997638962229
SMO,2016_2022,sca_detrended_range,2016,2022,7,0.11885849028580453,0.013734743437525728,0.1373474343752573,-0.038474708925250095,0.06594419580030154,-0.38474708925250095,0.6594419580030154,0.5288976633230238,0.08379681085377966,0.011958529833348067,0.11958529833348067,-24.05708158077957,-0.045145538583310475,0.09272066587512029,-0.45145538583310474,0.9272066587512029
SPO,2016_2022,sca_detrended_range,2016,2022,7,0.22175819258756085,0.003915156924840709,0.039151569248407084,-0.0671540554647503,0.07498436931443171,-0.671540554647503,0.7498436931443171,0.8929156570195662,0.003994752101433963,0.013801628755061301,0.13801628755061301,-27.692636411167364,-0.11584390152608866,0.035468295421736684,-1.1584390152608866,0.35468295421736684
SUM,2016_2022,sca_detrended_range,2016,2022,7,0.33176393367732765,-0.00023240972147349232,-0.002324097214734923,-0.063429413086059,0.06296459364311201,-0.6342941308605899,0.6296459364311201,0.9928229606105583,1.7873133993373536e-05,-0.010166666666666666,-0.10166666666666666,20.86398542659481,-0.084601271841926,0.06424808028437,-0.8460127184192601,0.6424808028437
TAP,2016_2022,sca_detrended_range,2016,2022,7,0.4051127292723038,0.024110090792452202,0.24110090792452202,-0.008601138224894049,0.05682131980979845,-0.08601138224894049,0.5682131980979845,0.1166586971795068,0.4179123569722595,0.016610090792449128,0.16610090792449128,-33.14570449025663,-0.0235198789434037,0.07310702983646661,-0.235198789434037,0.7310702983646661
WLG,2016_2022,sca_detrended_range,2016,2022,7,0.27795040509040697,0.015920188698689837,0.15920188698689836,-0.021143117085623227,0.0529834944830029,-0.21143117085623225,0.529834944830029,0.3198024563023619,0.19603663543464123,0.013921761187762172,0.13921761187762172,-27.828813950074426,-0.04576955970306076,0.1106173582183558,-0.4576955970306076,1.106173582183558
ZEP,2016_2022,sca_detrended_range,2016,2022,7,0.4739465523638872,0.010799829185594363,0.10799829185594363,-0.06137086651947791,0.08297052489066664,-0.6137086651947791,0.8297052489066664,0.7163003402842076,0.028743444887635694,0.00469760859829188,0.0469760859829188,-9.051286108361532,-0.08233333333333566,0.10870550268697002,-0.8233333333333566,1.0870550268697001
ALT,2016_2022,sca_harmonic,2016,2022,7,0.374914079399283,0.024875150836202668,0.2487515083620267,-0.019969229711243673,0.069719531383649,-0.19969229711243675,0.69719531383649,0.21322657951593763,0.2890851758678227,0.024913780453152873,0.24913780453152873,-49.875363484893114,-0.012021891386321837,0.08274012080290666,-0.12021891386321837,0.8274012080290666
