site,year,n_months,n_quarters,first_month,last_month,usable,sca_raw_range,sca_detrended_range,sca_harmonic
BAL,2011,6,2,1,6,False,0.12599999999999767,0.15276091476089704,0.22252815758570402
BHD,2009,8,4,3,10,True,0.15899999999999892,0.139211227418933,0.09928837247636053
BHD,2010,10,4,3,12,True,0.2850000000000037,0.2736921299536803,0.25653595953924896
BHD,2011,12,4,1,12,True,0.24099999999999966,0.22403819493051458,0.21590437815316377
BHD,2012,10,4,1,10,True,0.30100000000000193,0.27921122741891935,0.23918469971345588
BHD,2013,8,3,5,12,True,0.1490000000000009,0.15978877258105229,0.13512290665777912
BHD,2014,12,4,1,12,True,0.2010000000000005,0.18121122741893458,0.13382929674355853
BHD,2015,9,3,1,12,True,0.07600000000000051,0.07413483755790651,0.061193104845057814
BHD,2016,9,3,1,9,True,0.1010000000000062,0.08403819493052112,0.08077759064548096
BHD,2017,12,4,1,12,True,0.142000000000003,0.11938425990735624,0.10779345250072334
BHD,2018,12,4,1,12,True,0.18899999999999295,0.17369212995365757,0.13321914324986764
BHD,2019,3,2,7,12,False,0.11200000000000188,0.11482696751156851,0.5029247738277445
BHD,2020,12,4,1,12,True,0.14399999999999835,0.11938425990734913,0.08966468382257424
BHD,2021,6,3,1,10,False,0.2919999999999945,0.2702112274189332,0.2713231590638057
BHD,2022,10,4,3,12,True,0.29999999999999716,0.28869212995367377,0.2884148341764087
BRW,1998,12,4,1,12,True,0.6589999999999989,0.651513177482812,0.5936432696994967
BRW,1999,12,4,1,12,True,0.5810000000000031,0.5716414718535248,0.5031551917910054
BRW,2000,12,4,1,12,True,0.48699999999999477,0.47951317748280786,0.3420844069729935
BRW,2001,6,3,1,12,False,0.25200000000000244,0.23141123807774733,0.2860151832993622
BRW,2002,12,4,1,12,True,0.3859999999999957,0.37851317748280877,0.2579612725505563
BRW,2003,12,4,1,12,True,0.33800000000000097,0.33051317748281406,0.2265208634119032
BRW,2004,12,4,1,12,True,0.4070000000000036,0.3995131774828167,0.36580415253720927
BRW,2005,10,4,1,10,True,0.605000000000004,0.5956414718535257,0.5939500760683976
BRW,2006,11,4,2,12,True,0.44299999999999784,0.43551317748281093,0.38203174098908393
BRW,2007,12,4,1,12,True,0.6829999999999998,0.6755131774828058,0.5497553441037865
BRW,2008,12,4,1,12,True,0.6110000000000042,0.5997697662242274,0.5683027991627648
BRW,2009,12,4,1,12,True,0.5289999999999964,0.5215131774828095,0.45493720116185526
BRW,2010,12,4,1,12,True,0.47799999999999443,0.4705131774828075,0.4302284755344624
BRW,2011,12,4,1,12,True,0.6480000000000032,0.6386414718535249,0.567083932466357
BRW,2012,12,4,1,12,True,0.544000000000004,0.5365131774828242,0.46244717965248355
BRW,2013,12,4,1,12,True,0.24799999999999756,0.23676976622422075,0.22399034206964158
BRW,2014,12,4,1,12,True,0.49500000000000455,0.48564147185351914,0.42186144606464226
BRW,2015,12,4,1,12,True,0.5500000000000043,0.5406414718535189,0.47260214983134874
BRW,2016,12,4,1,12,True,0.554000000000002,0.5446414718535166,0.4950095387733328
BRW,2017,12,4,1,12,True,0.5140000000000029,0.506513177482816,0.4001071589161408
BRW,2018,12,4,1,12,True,0.4520000000000053,0.4445131774828184,0.38746886102000955
BRW,2019,12,4,1,12,True,0.6209999999999951,0.6135131774828153,0.5584448465293134
BRW,2020,12,4,1,12,True,0.644999999999996,0.6375131774828091,0.5535224340771961
BRW,2021,12,4,1,12,True,0.3400000000000034,0.3325131774828165,0.27926377742384334
BRW,2022,12,4,1,12,True,0.5820000000000007,0.5726414718535153,0.5240659047895541
CBA,2008,3,1,10,12,False,0.17900000000000205,0.18475647861305333,0.4993578593786784
CBA,2009,12,4,1,12,True,0.46300000000000097,0.4514870427738842,0.3377369665879965
CBA,2010,12,4,1,12,True,0.4480000000000004,0.4364870427738836,0.3171216490449617
CBA,2011,12,4,1,12,True,0.5279999999999987,0.5164870427738819,0.4390808350042529
CBA,2012,11,4,1,11,True,0.4959999999999951,0.48448704277387833,0.45315951132326854
CBA,2013,6,2,7,12,False,0.43599999999999994,0.4273652820804088,0.9021224920965861
CBA,2014,12,4,1,12,True,0.4380000000000024,0.4264870427738856,0.39655668333143806
CBA,2015,12,4,1,12,True,0.40500000000000114,0.39348704277389857,0.3341654252370504
CBA,2016,12,4,1,12,True,0.4089999999999989,0.3974870427738679,0.34045382844136013
CBA,2017,12,4,1,12,True,0.5040000000000049,0.4924870427738881,0.3644762097529936
CBA,2018,12,4,1,12,True,0.45700000000000074,0.44548704277386975,0.38634085605032675
CBA,2019,12,4,1,12,True,0.6610000000000014,0.6494870427738846,0.5794068064281704
CBA,2020,12,4,1,12,True,0.5929999999999964,0.5814870427738796,0.4938530201963697
CBA,2021,12,4,1,12,True,0.48499999999999943,0.47348704277388265,0.40828094160965994
CBA,2022,12,4,1,12,True,0.3500000000000014,0.3364870427739035,0.3407366124426454
CGO,1998,12,4,1,12,True,0.2889999999999944,0.28048127531288003,0.28205479319459653
CGO,1999,12,4,1,12,True,0.07000000000000028,0.06451872468711173,0.053770915503893506
CGO,2000,12,4,1,12,True,0.17899999999999494,0.18651872468711872,0.1290501669265546
