period,site,year,n_months,n_quarters,first_month,last_month,usable,sca_raw_range,sca_detrended_range,sca_harmonic
2016_2022,SPO,2019,12,4,1,12,True,0.20000000000000284,0.20553170457827008,0.14669131162311427
2016_2022,SPO,2020,12,4,1,12,True,0.1880000000000024,0.175092689317367,0.15318185445306534
2016_2022,SPO,2021,12,4,1,12,True,0.1739999999999995,0.1610926893173712,0.16649519451258415
2016_2022,SPO,2022,12,4,1,12,True,0.25900000000000034,0.24693659084345398,0.2582333883004933
2016_2022,SUM,2016,12,4,1,12,True,0.38400000000000034,0.3688187599281463,0.33251391389566454
2016_2022,SUM,2017,12,4,1,12,True,0.37299999999999756,0.3578187599281435,0.31601319286598917
2016_2022,SUM,2018,12,4,1,12,True,0.2569999999999979,0.2732174880862175,0.20931626838032108
2016_2022,SUM,2019,9,4,1,12,True,0.14999999999999858,0.1571449920574679,0.14576224351287903
2016_2022,SUM,2020,12,4,1,12,True,0.5739999999999981,0.5497100158850259,0.5825923726697646
2016_2022,SUM,2021,12,4,1,12,True,0.3230000000000004,0.30781875992814633,0.2933162625133939
2016_2022,SUM,2022,12,4,1,12,True,0.3230000000000004,0.30781875992814633,0.2945009385023601
2016_2022,TAP,2016,12,4,1,12,True,0.3500000000000014,0.3402385473208156,0.23051672390618572
2016_2022,TAP,2017,12,4,1,12,True,0.3719999999999999,0.3597981841510176,0.37308385438886504
2016_2022,TAP,2018,12,4,1,12,True,0.3089999999999975,0.29435782098121877,0.26221355440036087
2016_2022,TAP,2019,12,4,1,12,True,0.5080000000000027,0.4957981841510275,0.5139190695427752
2016_2022,TAP,2020,12,4,1,12,True,0.4239999999999995,0.4066789104906121,0.3507215110664851
2016_2022,TAP,2021,12,4,1,12,True,0.5210000000000008,0.5136789104906185,0.437496545601089
2016_2022,TAP,2022,12,4,1,12,True,0.4350000000000023,0.42523854732081645,0.3449043765658655
2016_2022,WLG,2016,12,4,1,12,True,0.24900000000000233,0.23745660445410977,0.19840012408288554
2016_2022,WLG,2017,12,4,1,12,True,0.1729999999999947,0.15483924623574552,0.1338799214484471
2016_2022,WLG,2018,12,4,1,12,True,0.2779999999999987,0.26545660445410135,0.2683058407002915
2016_2022,WLG,2019,9,3,4,12,True,0.42200000000000415,0.4127652835632887,0.42021654179507273
2016_2022,WLG,2020,12,4,1,12,True,0.30400000000000205,0.2924566044541095,0.28697920521284753
2016_2022,WLG,2021,12,4,1,12,True,0.32800000000000296,0.3072218880173878,0.27962937112827263
2016_2022,WLG,2022,12,4,1,12,True,0.28699999999999903,0.27545660445410647,0.28534587159512986
2016_2022,ZEP,2016,12,4,1,12,True,0.36700000000000443,0.3537904343931899,0.30066853916671393
2016_2022,ZEP,2017,12,4,1,12,True,0.4370000000000047,0.4237904343931902,0.3294455437210606
2016_2022,ZEP,2018,12,4,1,12,True,0.4450000000000003,0.42848804299148213,0.36568229875361735
2016_2022,ZEP,2019,12,4,1,12,True,0.695999999999998,0.679488042991494,0.6771224504121804
2016_2022,ZEP,2020,12,4,1,12,True,0.6700000000000017,0.6567904343931872,0.6502237523533009
2016_2022,ZEP,2021,12,4,1,12,True,0.35599999999999454,0.34279043439318,0.302282582384553
2016_2022,ZEP,2022,12,4,1,12,True,0.4490000000000052,0.432488042991487,0.4284324888393213
