Year,FF_G_d13C_mean,FF_G_d13C_std,Mic_G_d13C_mean,Mic_G_d13C_std,FF_G_dD_mean,FF_G_dD_std,Mic_G_dD_mean,Mic_G_dD_std,FF_NHext_d13C_mean,Mic_NHext_d13C_mean,FF_NHext_dD_mean,Mic_NHext_dD_mean,FF_Trop_d13C_mean,Mic_Trop_d13C_mean,FF_Trop_dD_mean,Mic_Trop_dD_mean,FF_SHext_d13C_mean,Mic_SHext_d13C_mean,FF_SHext_dD_mean,Mic_SHext_dD_mean,BB_fixed
2009,80.61703384455332,11.281239546920203,449.95300527797474,9.62128353839203,119.33169826888744,22.0749332801999,411.2383408536406,21.214578549343248,35.79796974296424,112.95089601613074,0.014783621213602181,148.73408213788136,0.0,337.002109261844,74.49785054608475,262.50425871575925,44.81906410158907,0.0,44.81906410158907,0.0,26.9
2010,82.32638978035115,11.229903564638288,451.00446574781023,9.56866230946281,124.26187580263102,22.26331331745353,409.06897972553037,21.3066062427582,36.90425054948549,112.49586776322664,0.01811140225480389,149.38200691045736,0.0,338.50859798458356,78.82162516951055,259.68697281507303,45.42213923086567,0.0,45.42213923086567,0.0,24.84
2011,85.10897541539104,11.210013410899986,453.90128644542443,9.544782641567709,113.85056223466503,22.752649801262805,425.1596996261504,21.77247530432407,38.479060213839574,112.36476831825306,0.010363261568263813,150.83346527052439,0.0,341.53651812717135,67.2102837715453,274.32623435562607,46.62991520155147,0.0,46.62991520155147,0.0,27.8
2012,87.96280803577045,11.189909146973894,457.34573582198215,9.523337738964525,122.93947875800147,23.114525049813324,422.3690650997511,22.04006709910357,39.81301586828955,112.54512651629688,0.009129736690323225,152.34901264789613,0.0,344.80060930568527,74.78055685383025,270.02005245185507,48.149792167480896,0.0,48.149792167480896,0.0,27.6
2013,89.46478434703522,11.238362154234027,461.70897689337374,9.582769860836349,132.94716983395057,23.405394324632923,418.2265914064584,22.21530554287908,39.920717036571396,113.83966488815307,0.006613878671104029,153.75376804605335,0.0,347.8693120052207,83.39648864481563,264.4728233604051,49.54406731046383,0.0,49.54406731046383,0.0,25.79
2014,90.05810363989414,11.27961742760089,465.122933539098,9.63771578102984,145.66319208323307,23.642848104435153,409.51784509575907,22.39641932353305,39.55323021083556,115.12006934613368,0.004912023768965673,154.66838753320027,0.0,350.0028641929643,95.15340663040551,254.84945756255877,50.504873429058584,0.0,50.504873429058584,0.0,27.98
2015,89.16039448240141,11.405915399335289,469.6281079931815,9.786064936693096,148.673751144075,23.969811263385278,410.11475133150793,22.678837808638775,37.69130814765082,117.7400449241443,0.0015842427277639609,155.42976882906734,0.0,351.8880630690372,97.20308056659667,254.68498250244053,51.46908633475059,0.0,51.46908633475059,0.0,25.56
2016,90.5788484331308,11.432865489808304,472.25569550672975,9.81975473729313,162.34441014542867,24.30487659390506,400.4901337944318,23.016396803531716,38.20010475440983,118.17589125596808,0.0007441300037237112,156.37525188037418,0.0,354.07980425076164,109.96492233670395,244.11488191405772,52.37874367872099,0.0,52.37874367872099,0.0,30.45
2017,89.83680678273318,11.584463387431807,477.69805127668764,9.996265902695763,170.42725592485604,24.522784595068398,397.10760213456484,23.239631067373196,36.416571405337365,121.08286948269163,3.775469154726721e-06,157.49943711255986,0.0,356.61518179399604,117.00701677199105,239.60816502200495,53.42023537739583,0.0,53.42023537739583,0.0,35.55
2018,91.6043392284326,11.693457937664192,484.0804310169572,10.134015251148988,167.10977846252803,25.23367598077629,408.5749917828618,23.936945519022974,36.23608877021041,123.22533939393945,3.775469154726721e-06,159.46142438868068,0.0,360.8550916230178,111.74152422883667,249.1135673941811,55.368250458222185,0.0,55.368250458222185,0.0,25.74
2019,93.56175536624583,11.842371162652475,491.81518949753143,10.303205055421072,163.8863262765176,26.096604703333348,421.4906185872597,24.711536602234613,35.82998555756849,125.94892936936998,0.0001843356117684465,161.7787305913267,0.0,365.86626012816146,106.15437213222846,259.71188799593295,57.73176980867734,0.0,57.73176980867734,0.0,26.37
2020,96.50621292547677,11.86886605750046,495.920304278587,10.333923087166468,162.33825997113104,26.520495087931184,430.0882572329328,25.13680440767419,37.220954599317785,126.35937549193899,0.0002304195147105581,163.58009967174206,0.0,369.5609287866481,103.05277122545736,266.5081575611908,59.285258326158996,0.0,59.285258326158996,0.0,26.23
2021,95.70197870623683,12.04775559633358,502.56969110080536,10.546886439275275,161.4396181758331,27.214260638998887,436.8320516312091,25.762471754471346,34.94544096923676,130.01835482547503,0.00030722601961407747,164.96348856869218,0.0,372.55133627533036,100.68277321281343,271.86856306251696,60.75653773700005,0.0,60.75653773700005,0.0,33.23
