COUNTRY,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.271149993,0.159498881,0.19139739,0.159498881,0.143549621,0.19139739,0.318997761,0.223302244,0.239251494,0.255200743,0.271149993,0.287099243,0.303048492,0.318997761,0.334946991,0.350896241,0.350896241,0.382382064,0.411537693,0.438940969,0.429766332,0.429766332,0.44554035
Pakistan,15.9055646,15.9055646,15.39414695,13.62203986,14.43252516,15.41713909,12.56399999,14.29234574,10.88929512,12.14266564,13.7200401,13.98298269,15.68843201,14.44202349,16.67622913,20.08992355,19.88894121,20.46892451,24.65705735,22.83314641,24.84093248,27.40653043,27.87848382,31.59837732,27.41681404,32.58253612,31.62319508,28.30348244,30.89016672,28.37480596,27.73512378,29.74173197,29.20092215,29.93133461,34.23027045,36.88676072,32.944004,38.18599223,36.60349425,28.94773395,29.66012821,28.50311711,25.64781396,28.5497669,32.49955751,41.30339,38.15355296,37.11304591,53.59495312,56.20629026,55.94399301,56.23465949,56.23465949
Indonesia,1.537182104,1.530072736,1.378334893,1.143858585,1.195855748,1.579528446,1.477804115,1.769072739,1.836917384,1.946976037,2.11204226,2.430901027,3.323521659,3.374744057,7.356938445,13.39812754,17.40652058,20.82669147,31.75634497,61.4531187,71.75363836,93.41723832,156.3894997,203.0638233,220.4956579,303.2480257,365.062318,398.0864987,443.31213,540.2995522,565.2692159,675.5733178,749.7185166,837.4378987,985.6013313,1146.423191,1487.350596,1641.275771,1765.613263,2067.113614,2278.978329,3618.395508,4011.872522,4133.534769,4368.470002,4026.789053,4241.257175,4830.129568,5771.398426,6361.423667,5914.435258,5978.925472,6577.761067
Japan,993.1557507,821.2820202,704.1230429,651.9579843,565.3567961,498.9095919,517.085406,518.4757899,421.9255047,407.2063177,417.6477404,419.5082093,415.0733694,399.9955576,396.0525455,386.9759063,374.3767878,305.7263631,274.0971093,253.0170006,177.475649,175.5102523,168.063738,163.0892287,163.4318484,166.0694896,160.7955174,120.057945,111.8778982,110.1200507,96.10117646,94.37507039,71.1225356,74.04809622,71.43915203,70.20832151,73.39587656,72.49291144,69.64892595,64.99788906,67.7429592,65.89736925,67.09100343,69.40512004,69.21644307,66.1706638,67.48243551,67.83258678,60.11052527,56.66452416,51.78345289,49.35088065,48.51758008
"Korea, Republic of",216.3641999,216.3641999,209.8995016,230.0673185,259.0940999,286.3579041,265.5918967,278.2036069,276.0266388,279.6444319,286.7817842,307.4384406,311.4257455,307.7323719,331.3168409,349.2107831,375.1883198,376.789999,378.4093512,326.4359723,272.7505438,240.471173,175.8991603,146.7692455,119.5333374,98.48657882,88.66437847,83.51986212,81.4891704,78.76812152,140.9866149,130.399761,63.51066026,63.32889267,61.99429987,54.36829124,55.41268928,58.81977675,58.2571476,52.61690516,50.89029009,53.26423838,51.22585561,47.73704763,48.90445524,49.81661014,47.15802795,44.5250514,40.14311083,38.34948098,36.20082331,33.7054026,33.15580222
"Korea, Democratic People's Republic of",273.9559083,273.9559083,278.8633468,283.6932705,289.2046752,294.9944105,317.8919842,341.776194,424.9093739,454.6687316,484.7908212,506.9276417,530.6930794,551.3387785,573.1632392,596.340692,583.6013299,570.1263205,556.807491,544.4183662,528.3876292,498.8845106,461.2862343,427.0955542,399.8124681,372.5550213,407.8057373,400.0380025,361.1837728,407.6674162,436.7881004,448.4341534,431.7997471,445.0964816,468.3150845,512.9489725,519.6895223,451.777271,479.2118973,372.4739488,374.7036662,387.4775244,393.1930783,414.1316768,419.4350651,433.7198507,490.5724844,341.8304101,285.3430136,318.9563683,299.8545985,299.8545985,261.7110213
Mexico,31.0991984,30.9512261,32.19973995,37.31486536,44.42929606,43.87757008,37.66076151,44.03102629,42.83200881,43.27830392,42.32461992,41.45618862,44.125998,51.56323892,53.10663057,51.88681836,45.51297972,48.59927402,36.91748213,41.77096392,52.78943036,43.037275,32.48144633,34.28908534,42.47836382,37.25859698,39.83223647,42.70768561,46.68754766,42.95682242,47.87351691,46.44980999,41.31969178,66.3239798,77.06135543,69.47862446,80.35584858,83.72755364,77.55170651,63.69452377,79.0412053,108.1877755,54.13957353,48.30273161,25.80260315,34.87812403,53.89832517,54.65767176,43.70970434,36.2677714,45.49917995,49.90645266,49.71243893
"Iran, Islamic Republic of",5.87944409,5.87944409,9.185977509,14.74570236,15.51739799,16.26483911,16.94136204,16.9591279,13.2390187,15.53465773,16.71424229,16.10112448,18.38395833,18.28878351,18.30305019,19.39772452,18.63964093,18.98372826,20.13804561,14.99787058,14.62194332,15.38110868,12.25474557,19.61737248,19.43235231,18.98109293,17.84609315,17.21385769,21.60046803,18.62810175,20.26677355,19.71455039,18.48122771,19.98440908,21.11823351,26.2664762,27.83405256,28.08831871,26.96447431,20.25872301,19.04536062,20.07998991,17.83766763,19.35801408,19.02821202,21.34786,23.5033563,27.71919649,29.93143744,26.47053066,26.93814354,26.89055469,27.57137318
Algeria,0.049491052,0.049491052,0.049491052,0.055836002,0.027918001,0.034262952,0.067256988,0.087560936,0.044415019,0.153920069,0.132347206,0.29224117,1.50321036,1.438089888,1.471083941,1.471083941,1.508936095,1.68455452,1.568207938,1.411995581,0.961901895,0.983475,1.003778965,0.911141982,0.78424207,0.499985991,0.480950947,0.499985991,0.722060903,0.706832974,0.577395044,0.623079009,0.810890947,0.810890947,0.826119053,0.749978877,0.796931982,0.788048965,0.788048965,0.261414075,,,,,0.017765932,0.010152068,,0.005117859,0.008187561,0.01842215,0.006768864,0.006092224,0.005483222
Egypt,0.586597764,0.586597764,0.521692427,0.492301318,0.793560234,0.923370996,0.914798584,0.998073457,1.005421289,1.145028955,0.920921748,1.190340439,1.219731416,1.147478291,1.165847871,1.229528496,1.241774912,1.255245732,1.377708662,1.377708662,1.310354121,1.359339346,1.38873041,1.649576602,1.775713535,1.797756855,1.800206191,1.82347418,1.714481895,2.23087867,2.938897098,2.494475721,2.630409647,2.705112108,2.686123591,2.508541944,1.866336152,1.696112578,1.527113496,1.35689001,1.017667441,2.161471992,2.258217773,0.314729956,0.449439126,0.351468765,0.399229277,0.791239658,0.430648462,0.356470181,0.072118427,0.01624836,0.003660773
Morocco,8.181619089,8.181619089,9.421780043,9.731820601,9.88684088,11.23034847,12.09157153,12.17769384,12.16584,11.99687,11.48996,10.79478537,11.28615503,11.53184178,12.86775317,11.90036743,11.90036743,9.73526534,9.76598146,7.73907505,8.076896729,8.460773401,8.844662864,9.274606042,9.980953368,9.980953368,7.769784134,5.77360024,4.130576578,1.980839265,0.476010762,0.030709315,,,0.368531443,0.184262444,0.061418629,,,,,,,,,,,,,,,,
