Year,Scenario,FF_combined_mean,FF_combined_std,Mic_combined_mean,Mic_combined_std,FF_dD_mean,FF_dD_std
2013,B: Ben's hemispheric dD,129.9360839317759,25.951578327409287,437.324084422229,25.951578327409287,73.20921691743337,42.64750356554378
2014,B: Ben's hemispheric dD,160.90553581645608,24.916517884585307,417.44911445224096,24.916517884585314,117.267437240963,40.51490512573254
2015,B: Ben's hemispheric dD,139.52406718953466,25.54526849275975,435.65068811052106,25.54526849275975,96.58283931442894,41.34496444678574
2016,B: Ben's hemispheric dD,133.51631639801604,25.723450923048738,438.8119758249556,25.723450923048738,87.59358208461586,41.82844752031757
2017,B: Ben's hemispheric dD,135.6054606012418,26.131210572231875,443.51796066325517,26.131210572231875,100.7921551221158,41.73810257986957
2018,B: Ben's hemispheric dD,141.66981923047396,26.45809193753505,445.2616904716926,26.45809193753505,85.36167722233338,43.394967216095644
2019,B: Ben's hemispheric dD,150.94606432848826,26.239940732272025,448.78859405853603,26.239940732272025,125.56148947096298,41.457158903977756
2020,B: Ben's hemispheric dD,128.27285690548774,28.060594939027748,487.8024259370941,28.060594939027748,73.13371023166138,45.654471568813506
2021,B: Ben's hemispheric dD,135.77893402442297,28.15153486123696,487.2090820087096,28.15153486123696,92.1474190138083,45.31822844741797
1999,C: dD from 2010 only,175.38267606674933,28.25833365100693,341.5421449847361,28.25833365100693,,
2000,C: dD from 2010 only,160.30068504253842,28.496045138123417,349.18323202398335,28.496045138123414,,
2001,C: dD from 2010 only,174.5767637399738,28.006294951814702,345.26255067060214,28.006294951814702,,
2002,C: dD from 2010 only,181.3367978997769,28.048814107414742,349.0522936939178,28.04881410741474,,
2003,C: dD from 2010 only,157.59394855330902,28.870461239702113,361.32074233384964,28.87046123970211,,
2004,C: dD from 2010 only,157.0060649141302,28.143832650470085,355.49961409048456,28.143832650470085,,
2005,C: dD from 2010 only,171.94445137930876,27.95141075628821,351.08151449851124,27.95141075628821,,
2006,C: dD from 2010 only,191.9453415981511,27.73001888255361,348.1798547406234,27.73001888255361,,
2007,C: dD from 2010 only,163.32043516614172,29.78892471305176,377.6125522330402,29.788924713051756,,
2008,C: dD from 2010 only,174.41830497963693,29.156363849330557,371.8169187529288,29.156363849330557,,
2009,C: dD from 2010 only,170.0638774125103,29.775393545263416,376.103826147432,29.77539354526342,,
2010,C: dD from 2010 only,137.31217564065824,26.034577195660408,408.25230213711995,26.034577195660408,99.14569671988046,43.75792277464582
2011,C: dD from 2010 only,151.84093213195302,24.77050552065178,398.2752056950532,24.77050552065178,126.37065379147086,41.63287915250277
2012,C: dD from 2010 only,118.42098349256051,26.269369592953044,435.20270735062564,26.269369592953044,53.272808400352204,44.50094629603239
2013,C: dD from 2010 only,143.65429743890843,26.892450299037797,423.60587091509643,26.892450299037797,101.31856893124274,45.91027670735737
2014,C: dD from 2010 only,156.59363380430764,25.69977403417161,421.7610164643895,25.69977403417161,109.31917128476728,43.37663445882488
2015,C: dD from 2010 only,140.9675504438199,25.958714442999163,434.2072048562359,25.958714442999163,100.14406449190913,43.452199677089716
2016,C: dD from 2010 only,137.07250478011392,26.68375628094353,435.25578744285775,26.68375628094353,95.38477543395263,45.05177237625349
2017,C: dD from 2010 only,123.84200035410666,27.571726517558034,455.28142091039035,27.571726517558034,77.95090061942663,46.04700276001885
2018,C: dD from 2010 only,152.22910980634992,27.069051536497692,434.7023998958166,27.069051536497692,107.17155136289142,45.818856451840674
2019,C: dD from 2010 only,111.60734850808814,28.818658246495385,488.12730987893616,28.81865824649538,47.57815316190997,49.03711477085171
2020,C: dD from 2010 only,139.01032929861097,28.523607030277,477.06495354397083,28.523607030277,95.30310058926206,47.28554508013764
2021,C: dD from 2010 only,155.3986937653672,29.503722083707643,467.58932226776534,29.503722083707643,132.08690808215624,49.388600900036614
1999,D: Inverse-uncertainty weighted,174.9170900385073,28.586888851631965,342.00773101297807,28.586888851631965,74.07537935089803,39.21692374493542
2000,D: Inverse-uncertainty weighted,159.83607907105954,28.68168920198798,349.6478379954623,28.68168920198798,56.29188410666888,39.886811355683
2001,D: Inverse-uncertainty weighted,174.11176837940022,28.28296778962716,345.7275460311758,28.28296778962716,76.89370600764694,39.25949225357005
2002,D: Inverse-uncertainty weighted,180.87254094351144,28.272588497934034,349.5165506501833,28.272588497934034,95.82162956898085,38.776014239119455
2003,D: Inverse-uncertainty weighted,157.13082642952736,29.112417866535424,361.78386445763135,29.11241786653542,67.57658124824601,39.86409604525876
2004,D: Inverse-uncertainty weighted,156.54191281936355,28.40284583087154,355.9637661852512,28.402845830871538,52.625477558200494,40.41521896915612
2005,D: Inverse-uncertainty weighted,116.63875472694203,25.813372034880246,406.3872111508779,25.813372034880242,59.55698390440048,43.2755944003028
2006,D: Inverse-uncertainty weighted,145.80269245895607,25.94593063556541,394.3225038798184,25.945930635565407,98.25744331938573,42.65005392451852
2007,D: Inverse-uncertainty weighted,136.07077667264574,26.223319295945778,404.86221072653615,26.223319295945778,108.19373705558891,42.164429575518575
2008,D: Inverse-uncertainty weighted,92.05229280321242,32.27113337387462,454.1829309293533,32.27113337387462,10.154042523852421,57.17754494858613
2009,D: Inverse-uncertainty weighted,140.93367005837246,28.519847439213258,405.23403350156985,28.519847439213258,112.27593077678578,47.88646615362564
2010,D: Inverse-uncertainty weighted,141.53587753760604,25.863700497475428,404.0286002401721,25.863700497475424,98.86734697609826,44.08333484973498
2011,D: Inverse-uncertainty weighted,156.30894964672459,24.409101643523595,393.80718818028157,24.409101643523595,126.09091608298563,41.06515211486234
