Year,S_tot,Mic,FF,BB,f_mic,dD_src,d13C_src,KIE_D,physical
2006,564.5893,434.2384,68.7699,61.5810,0.7691,-281.7649,-54.9620,1.3058,True
2006,540.6415,419.6332,33.6607,87.3476,0.7762,-274.6685,-55.5715,1.2934,True
2006,540.1871,434.7541,17.9802,87.4528,0.8048,-282.3112,-55.1231,1.3077,True
2006,542.9689,419.7488,42.3121,80.9080,0.7731,-280.0843,-55.0029,1.3034,True
2006,532.5345,326.3069,206.2276,0.0000,0.6127,-270.0343,-55.4349,1.2852,True
2006,534.5916,439.4678,0.0000,95.1237,0.8221,-267.1602,-54.1861,1.2799,True
2006,544.1467,441.7645,0.0000,102.3821,0.8118,-276.9594,-54.4152,1.2975,True
2006,573.3916,499.1658,0.0000,74.2258,0.8705,-273.6802,-53.4357,1.2905,True
2006,559.1429,391.2537,28.3074,139.5817,0.6997,-276.4530,-54.0859,1.2961,True
2006,564.3602,423.7577,93.0988,47.5036,0.7509,-279.5970,-54.9724,1.3018,True
2006,567.3337,539.3216,0.0000,28.0121,0.9506,-283.3294,-53.4797,1.3087,True
2006,530.5410,334.6440,195.8970,0.0000,0.6308,-271.6941,-54.5187,1.2883,True
2006,566.6085,442.7945,43.8023,80.0117,0.7815,-280.3347,-55.2119,1.3031,True
2006,538.9212,471.2818,0.0000,67.6394,0.8745,-279.6117,-54.3882,1.3026,True
2006,548.2207,332.6125,189.8843,25.7239,0.6067,-274.3127,-54.1996,1.2925,True
2006,533.4093,445.9768,0.0000,87.4325,0.8361,-282.8787,-53.4083,1.3090,True
2006,527.7799,373.3179,94.2988,60.1632,0.7073,-278.5829,-54.8496,1.3011,True
2006,523.0656,353.6949,169.3708,0.0000,0.6762,-278.0306,-56.6359,1.3003,True
2006,534.9636,441.0009,35.2210,58.7417,0.8244,-282.2360,-55.2014,1.3077,True
2006,538.7860,354.0428,166.7574,17.9858,0.6571,-276.9140,-55.3970,1.2976,True
2006,546.2952,454.0206,0.0000,92.2746,0.8311,-279.8227,-54.2865,1.3028,True
2006,570.5042,370.8455,184.2181,15.4406,0.6500,-274.2066,-55.0206,1.2916,True
2006,558.8892,388.0191,94.5392,76.3309,0.6943,-277.7126,-55.0360,1.2984,True
2006,531.2878,460.5383,8.6021,62.1473,0.8668,-288.5233,-54.9362,1.3198,True
2006,557.4656,541.1081,0.0000,16.3575,0.9707,-287.3833,-54.6201,1.3167,True
2006,541.0553,374.7247,162.2800,4.0505,0.6926,-272.9406,-54.3129,1.2902,True
2006,552.1912,420.5020,47.2905,84.3987,0.7615,-279.4958,-53.8452,1.3020,True
2006,536.8131,420.1483,0.0000,116.6648,0.7827,-278.5518,-55.8089,1.3007,True
2006,543.2687,399.5456,35.7923,107.9308,0.7354,-271.8272,-53.6813,1.2881,True
2006,536.6328,412.9633,72.5355,51.1340,0.7695,-277.7014,-55.5684,1.2992,True
2006,576.3361,468.1332,0.0000,108.2029,0.8123,-273.9548,-55.3553,1.2910,True
2006,571.5560,399.9361,129.4644,42.1555,0.6997,-272.6630,-54.1266,1.2887,True
2006,569.3783,518.4484,0.0000,50.9300,0.9106,-280.7776,-55.4239,1.3038,True
2006,557.1483,497.8751,0.0000,59.2732,0.8936,-277.6000,-54.5291,1.2983,True
2006,519.1666,403.4899,0.0000,115.6767,0.7772,-276.3707,-54.7595,1.2973,True
2006,539.2613,386.6104,8.1158,144.5351,0.7169,-272.4538,-53.1057,1.2894,True
2006,534.7873,352.3762,138.1890,44.2220,0.6589,-275.3491,-53.4260,1.2949,True
2006,537.2333,416.8860,94.4393,25.9079,0.7760,-275.6946,-55.6630,1.2954,True
2006,542.2788,401.0485,53.9989,87.2314,0.7396,-275.1952,-54.6207,1.2943,True
2006,531.7106,364.5909,137.3990,29.7206,0.6857,-278.4476,-55.4188,1.3007,True
2006,554.9197,333.6083,217.9475,3.3639,0.6012,-276.3752,-55.8618,1.2961,True
2006,527.3369,409.5069,3.6964,114.1336,0.7766,-281.6424,-54.9745,1.3069,True
2006,563.9180,334.4602,216.9193,12.5385,0.5931,-272.4310,-54.5133,1.2885,True
2006,564.6773,407.0082,143.0063,14.6629,0.7208,-284.8236,-54.6820,1.3116,True
2006,528.9052,396.5947,93.4149,38.8956,0.7498,-276.6181,-54.4617,1.2974,True
2006,564.9746,408.0368,98.0559,58.8820,0.7222,-271.9072,-54.4414,1.2876,True
2006,560.5436,397.9114,111.3787,51.2534,0.7099,-276.6379,-53.9595,1.2964,True
2006,531.0723,405.7296,91.8751,33.4676,0.7640,-276.3995,-55.5670,1.2969,True
2006,513.2543,398.9455,28.5385,85.7704,0.7773,-278.9220,-54.2123,1.3023,True
2006,540.3700,445.4372,0.0000,94.9328,0.8243,-284.9668,-54.6222,1.3127,True
2006,544.8019,386.9032,157.8987,0.0000,0.7102,-275.8337,-56.7683,1.2954,True
2006,563.0692,490.7892,0.0000,72.2799,0.8716,-277.3137,-53.6967,1.2976,True
2006,575.9089,397.1926,129.6270,49.0894,0.6897,-276.7631,-55.4274,1.2961,True
2006,535.0443,408.7688,60.4424,65.8331,0.7640,-273.9331,-54.2787,1.2922,True
2006,527.6039,333.5349,188.5648,5.5042,0.6322,-276.1629,-54.0056,1.2966,True
2006,535.5775,364.0659,131.3691,40.1424,0.6798,-272.7696,-53.6916,1.2901,True
2006,538.3504,432.0816,59.0383,47.2305,0.8026,-274.7672,-56.0099,1.2937,True
2006,528.0148,415.9428,92.2378,19.8342,0.7877,-282.9049,-56.2441,1.3092,True
2006,537.4337,395.5679,97.2054,44.6603,0.7360,-281.5285,-54.6814,1.3063,True
2006,535.4770,427.6611,17.0743,90.7416,0.7987,-278.2145,-53.8794,1.3001,True
2006,538.1448,457.8880,2.2575,77.9993,0.8509,-274.0650,-54.9445,1.2924,True
2006,528.8051,377.0475,139.5438,12.2138,0.7130,-275.6888,-55.4751,1.2957,True
2006,513.8523,361.3479,152.5044,0.0000,0.7032,-276.0954,-54.4426,1.2970,True
2006,540.3305,387.2538,152.4236,0.6530,0.7167,-276.3997,-55.0480,1.2966,True
2006,547.6273,431.4760,36.1963,79.9550,0.7879,-282.8115,-55.3053,1.3083,True
2006,559.8515,338.9211,177.6453,43.2851,0.6054,-271.9519,-53.7529,1.2878,True
2006,554.5053,429.7879,69.9039,54.8135,0.7751,-287.2389,-54.4514,1.3165,True
2006,579.6798,415.6832,42.9754,121.0212,0.7171,-270.8788,-54.1363,1.2852,True
2006,547.1826,510.9725,0.0000,36.2101,0.9338,-280.0038,-54.6875,1.3031,True
2006,549.1438,463.3663,0.0000,85.7775,0.8438,-277.9621,-53.6159,1.2992,True
2006,559.3193,417.3767,86.1233,55.8193,0.7462,-280.3396,-55.4474,1.3033,True
2006,556.8576,428.1518,70.3244,58.3813,0.7689,-280.0527,-54.0285,1.3028,True
2006,543.8302,429.7070,52.0415,62.0818,0.7901,-276.2465,-57.3201,1.2962,True
2006,567.0730,439.3711,88.3184,39.3834,0.7748,-280.8280,-55.4698,1.3040,True
2006,544.6989,398.8343,54.1922,91.6725,0.7322,-273.0749,-55.3924,1.2903,True
2006,554.6945,440.7461,51.8769,62.0715,0.7946,-274.6980,-53.8975,1.2930,True
2006,526.9598,493.2197,0.0000,33.7401,0.9360,-278.1612,-53.8157,1.3004,True
2006,544.4529,507.8884,0.0000,36.5645,0.9328,-282.5247,-54.6185,1.3079,True
2006,545.0457,394.2337,55.3826,95.4294,0.7233,-279.8780,-53.2919,1.3029,True
2006,554.7789,385.4856,160.4879,8.8054,0.6948,-284.6774,-54.9072,1.3116,True
2006,542.9702,409.9261,52.9855,80.0587,0.7550,-277.7922,-53.7334,1.2991,True
2006,542.3807,356.5698,132.2690,53.5419,0.6574,-275.5393,-53.6794,1.2949,True
2006,540.7611,487.8248,0.0000,52.9363,0.9021,-276.2033,-55.0564,1.2962,True
2006,536.7121,409.2221,9.1145,118.3755,0.7625,-276.9081,-53.2001,1.2977,True
2006,562.0405,324.5260,237.5145,0.0000,0.5774,-274.5627,-55.6014,1.2925,True
2006,551.3705,383.1204,129.4761,38.7740,0.6949,-277.1409,-54.1696,1.2976,True
2006,545.0344,430.4910,20.1540,94.3894,0.7898,-284.2305,-55.5577,1.3111,True
2006,538.1315,409.1101,73.2484,55.7730,0.7602,-280.3991,-54.5293,1.3041,True
2006,554.5594,408.8702,11.0518,134.6375,0.7373,-274.6415,-54.1357,1.2929,True
2006,537.3510,308.4825,228.8685,0.0000,0.5741,-276.8426,-54.7546,1.2975,True
2006,534.0028,399.4696,111.4123,23.1210,0.7481,-278.5397,-54.8927,1.3008,True
2006,520.6688,418.6838,61.8653,40.1197,0.8041,-276.3223,-55.3858,1.2972,True
2006,553.8097,436.9942,23.6147,93.2008,0.7891,-273.2557,-54.1465,1.2904,True
2006,559.6021,417.7143,63.2789,78.6089,0.7464,-278.1338,-54.2525,1.2992,True
2006,534.8024,390.5843,90.9481,53.2700,0.7303,-273.4275,-54.6423,1.2913,True
2006,545.7860,435.2495,0.0000,110.5364,0.7975,-271.2130,-55.2596,1.2869,True
2006,567.5175,394.5118,173.0057,0.0000,0.6952,-278.6497,-54.5947,1.2999,True
2006,539.0522,363.6464,148.7561,26.6497,0.6746,-268.9597,-54.3561,1.2830,True
2006,519.6032,487.3326,0.0000,32.2706,0.9379,-282.3073,-55.5260,1.3084,True
2006,548.7500,409.7293,0.0000,139.0207,0.7467,-273.7372,-53.9395,1.2914,True
2006,555.7798,499.1784,0.0000,56.6014,0.8982,-282.2705,-54.3819,1.3070,True
2006,528.7509,502.8185,0.0000,25.9324,0.9510,-278.0569,-54.7976,1.3001,True
2006,537.7650,381.1982,50.1136,106.4532,0.7089,-268.8891,-53.3946,1.2829,True
2006,542.6669,429.6305,76.6224,36.4140,0.7917,-277.2170,-54.8618,1.2980,True
2006,508.9333,349.0801,118.5137,41.3395,0.6859,-273.9665,-55.0893,1.2933,True
2006,569.4693,390.2177,121.7653,57.4863,0.6852,-271.0005,-55.2629,1.2858,True
2006,554.4766,458.6108,0.0000,95.8658,0.8271,-288.2689,-53.9658,1.3185,True
2006,555.5846,481.5044,0.0000,74.0802,0.8667,-280.6887,-54.6129,1.3041,True
2006,545.5180,465.3858,0.0000,80.1322,0.8531,-281.6676,-54.7075,1.3063,True
2006,588.6076,576.6053,0.0000,12.0023,0.9796,-281.6363,-53.4630,1.3048,True
2006,534.5734,361.5601,152.1358,20.8776,0.6764,-276.7016,-55.9098,1.2974,True
2006,505.3003,441.7565,0.0000,63.5438,0.8742,-286.8717,-54.4281,1.3176,True
2006,551.6290,402.7648,81.2930,67.5712,0.7301,-286.2263,-54.6104,1.3147,True
2006,563.0586,544.1816,0.0000,18.8771,0.9665,-281.3333,-55.9089,1.3050,True
2006,532.8336,409.4758,59.2383,64.1196,0.7685,-276.2683,-53.8775,1.2966,True
2006,540.1724,390.6435,91.5864,57.9425,0.7232,-274.0819,-54.0935,1.2923,True
2006,548.5135,394.1445,104.0112,50.3578,0.7186,-277.9377,-54.1588,1.2992,True
2006,539.9537,411.3816,38.4573,90.1148,0.7619,-266.6576,-53.6579,1.2788,True
2006,567.3202,471.3380,66.2178,29.7644,0.8308,-280.1072,-54.6286,1.3026,True
2006,549.0128,399.6918,87.0750,62.2460,0.7280,-273.4892,-55.6471,1.2910,True
2006,555.7557,524.3352,0.0000,31.4205,0.9435,-283.8186,-53.9048,1.3100,True
2006,579.8820,449.8706,13.2009,116.8104,0.7758,-286.6252,-53.9695,1.3145,True
2006,559.2593,398.5519,78.6499,82.0575,0.7126,-285.5394,-54.4099,1.3131,True
2006,512.4838,371.5602,74.3843,66.5394,0.7250,-282.1804,-54.3263,1.3084,True
2006,579.5765,539.7351,0.0000,39.8414,0.9313,-284.3533,-53.3543,1.3102,True
2006,553.7098,408.5723,78.8103,66.3272,0.7379,-282.3400,-54.3145,1.3072,True
2006,534.9793,398.1347,51.9399,84.9047,0.7442,-276.7967,-53.8003,1.2975,True
2006,526.3674,380.8311,75.3332,70.2032,0.7235,-280.5919,-54.7308,1.3049,True
2006,529.5478,406.3468,21.1519,102.0491,0.7673,-276.2338,-55.2445,1.2967,True
2006,549.7940,409.2797,0.0000,140.5143,0.7444,-276.5435,-54.1806,1.2966,True
2006,530.0274,377.1669,106.2304,46.6301,0.7116,-271.1489,-53.8097,1.2873,True
2006,582.3207,416.3891,103.8140,62.1176,0.7151,-271.1905,-55.5654,1.2857,True
2006,572.5677,464.7821,0.0000,107.7856,0.8118,-283.3703,-55.1785,1.3086,True
2006,538.2612,274.2548,264.0064,0.0000,0.5095,-269.2224,-55.7309,1.2835,True
2006,553.7063,405.2721,110.6080,37.8262,0.7319,-275.7490,-54.3926,1.2950,True
2006,514.8487,433.3896,2.6692,78.7899,0.8418,-279.1084,-55.2814,1.3026,True
2006,536.4553,400.8261,15.0584,120.5708,0.7472,-278.1447,-55.0663,1.3000,True
2006,545.8138,405.7704,74.0916,65.9518,0.7434,-280.7349,-54.1618,1.3045,True
2006,564.3189,470.3420,0.0000,93.9768,0.8335,-284.0211,-55.2256,1.3101,True
2006,532.4978,445.2526,0.0000,87.2452,0.8362,-279.3818,-53.2152,1.3024,True
2006,534.2057,405.8055,75.4335,52.9666,0.7596,-278.6659,-54.5399,1.3010,True
2006,540.7426,415.4561,0.0000,125.2865,0.7683,-282.4011,-53.8288,1.3078,True
2006,535.3407,398.2836,137.0570,0.0000,0.7440,-280.9486,-56.1194,1.3053,True
2006,556.9546,501.8341,0.0000,55.1205,0.9010,-281.8455,-55.7848,1.3062,True
2006,518.9686,459.0775,0.0000,59.8911,0.8846,-277.4985,-53.9965,1.2994,True
2006,546.2761,435.1354,0.0000,111.1406,0.7965,-278.7989,-55.3897,1.3009,True
2006,555.5766,358.7373,163.1686,33.6707,0.6457,-278.4132,-54.3860,1.2998,True
2006,532.6373,411.0678,27.3240,94.2455,0.7718,-278.3475,-53.3811,1.3005,True
2006,561.7124,249.4385,312.2739,0.0000,0.4441,-273.1009,-54.3182,1.2898,True
2006,536.4029,432.1576,0.0000,104.2454,0.8057,-280.6566,-53.8146,1.3047,True
2006,515.3788,454.5888,0.0000,60.7900,0.8820,-280.5595,-55.2463,1.3053,True
2006,537.5416,429.4805,88.3549,19.7063,0.7990,-278.1164,-54.8815,1.2999,True
2006,527.9521,446.4433,0.0000,81.5087,0.8456,-282.3983,-55.4680,1.3083,True
2006,584.0887,527.2025,0.0000,56.8862,0.9026,-281.9135,-54.0563,1.3055,True
2006,560.4565,385.9679,108.8994,65.5891,0.6887,-276.6328,-54.8460,1.2964,True
2006,571.6034,429.0785,102.3828,40.1421,0.7507,-280.5707,-54.7669,1.3033,True
2006,543.5984,411.0461,57.2963,75.2560,0.7562,-273.7200,-54.0850,1.2916,True
2006,557.9805,383.8799,143.2132,30.8874,0.6880,-282.9043,-56.0040,1.3082,True
2006,550.7574,428.1276,54.1726,68.4571,0.7773,-281.3886,-55.0284,1.3056,True
2006,542.3972,374.1280,150.2984,17.9708,0.6898,-275.3951,-55.4056,1.2947,True
2006,558.7330,480.8279,5.9622,71.9430,0.8606,-281.5797,-55.5312,1.3056,True
2006,540.2223,372.1244,104.0825,64.0154,0.6888,-281.9869,-55.6050,1.3070,True
2006,523.1423,444.2670,0.0000,78.8753,0.8492,-279.0979,-54.6492,1.3022,True
2006,551.1797,497.5391,0.0000,53.6405,0.9027,-282.9975,-55.3872,1.3086,True
2006,524.7996,397.6473,66.5410,60.6113,0.7577,-273.0272,-54.6908,1.2909,True
2006,524.5364,428.5702,0.0000,95.9662,0.8170,-282.1089,-54.8302,1.3078,True
2006,531.1749,394.1838,8.2844,128.7067,0.7421,-273.1045,-54.8032,1.2909,True
2006,539.6903,411.3285,20.3499,108.0119,0.7622,-277.5322,-54.1056,1.2987,True
2006,537.6799,390.3746,115.7194,31.5860,0.7260,-276.5959,-55.4567,1.2971,True
2006,533.1008,411.7369,64.1940,57.1699,0.7723,-280.4587,-56.2305,1.3044,True
2006,564.7084,447.1240,26.7888,90.7956,0.7918,-280.8969,-55.3146,1.3042,True
2006,556.8546,378.5050,168.7946,9.5550,0.6797,-276.4799,-54.5610,1.2962,True
2006,557.3907,395.9364,109.0926,52.3617,0.7103,-274.9907,-55.2734,1.2934,True
2006,537.8023,371.2895,166.5127,0.0000,0.6904,-271.9356,-54.8430,1.2885,True
2006,540.0900,324.1115,157.8639,58.1146,0.6001,-271.1266,-54.5541,1.2869,True
2006,544.0518,390.2926,153.7592,0.0000,0.7174,-278.7500,-54.6238,1.3008,True
2006,542.0000,375.5062,152.8408,13.6530,0.6928,-273.1926,-55.3225,1.2906,True
2006,563.8972,458.1102,0.0000,105.7869,0.8124,-283.4140,-55.0217,1.3089,True
2006,530.0059,426.5177,72.2151,31.2731,0.8047,-283.6433,-55.3172,1.3105,True
2006,547.0025,302.1311,244.8714,0.0000,0.5523,-275.2551,-55.4384,1.2943,True
2006,542.6181,427.1871,64.4048,51.0261,0.7873,-276.6276,-55.2540,1.2970,True
2006,539.0810,406.5376,66.8196,65.7237,0.7541,-279.0808,-53.8930,1.3016,True
2006,569.7554,459.5144,0.0000,110.2411,0.8065,-276.5072,-54.9355,1.2959,True
2006,525.8641,358.6425,54.9692,112.2525,0.6820,-267.9520,-52.1978,1.2816,True
2006,548.9843,445.6429,72.0097,31.3317,0.8118,-284.6210,-55.3947,1.3117,True
2006,582.4427,459.8687,45.8397,76.7343,0.7896,-277.6122,-54.9638,1.2975,True
2006,530.4685,435.0443,35.3516,60.0726,0.8201,-282.3275,-55.3090,1.3080,True
2006,537.0887,355.9082,121.7904,59.3902,0.6627,-273.5392,-53.4421,1.2914,True
2006,558.7466,401.2228,64.2221,93.3017,0.7181,-272.3566,-55.2128,1.2886,True
2006,529.7315,373.0338,132.0521,24.6455,0.7042,-278.5202,-55.8995,1.3009,True
2006,577.9346,490.8744,0.0000,87.0602,0.8494,-274.5511,-54.3097,1.2920,True
2006,543.5375,364.4966,179.0409,0.0000,0.6706,-276.4814,-56.0164,1.2967,True
2006,527.6026,475.4597,9.9772,42.1657,0.9012,-285.3585,-56.0869,1.3139,True
2006,571.0028,440.5648,37.8849,92.5530,0.7716,-278.6225,-55.5962,1.2997,True
2006,558.1673,354.2242,203.9431,0.0000,0.6346,-283.6382,-55.1188,1.3095,True
2006,531.0758,485.6865,0.0000,45.3894,0.9145,-284.6745,-55.0000,1.3124,True
2006,532.3986,393.9002,75.6012,62.8973,0.7399,-276.5434,-54.2598,1.2972,True
