site_code,site_name,country,latitude,longitude,elevation_m,labs,n_observations,year_start,year_end,data_source
HIP,HIPPO (HIAPER Pole-to-Pole Observations),United States,14.744649887084961,-154.69915771484375,,NOAA,1416,2009.0,2011.7,Basu2022_ObsPack
HLE,Hanle,India,32.78,78.96,4517.0,LSCE,321,2000.9,2016.3,Basu2022_ObsPack
HNP,"Hanlan's Point, Ontario",Canada,43.6122,-79.3887,87.0,EC,17762,2014.5,2017.3,Basu2022_ObsPack
HOW,"Howland, Maine",United States,42.2,-68.13,,NOAA,32,1997.0,1997.5,Basu2022_ObsPack
HPB,Hohenpeissenberg,Germany,47.8011,11.0245,936.0,DWD; NOAA,35699,2006.3,2019.9,Basu2022_ObsPack
HSU,Humboldt State University,United States,41.0588,-124.75,0.0,NOAA,172,2008.4,2017.4,Basu2022_ObsPack
HUN,Hegyhatsal,Hungary,46.95,16.65,248.0,ELTE; NOAA,40833,1993.2,2019.9,Basu2022_ObsPack
ICE,"Storhofdi, Vestmannaeyjar",Iceland,63.3998,-20.2884,118.0,NOAA,2438,1992.8,2019.9,Basu2022_ObsPack
IGR,Igrim,Russia,63.1903,64.4156,9.0,NIES,107699,2005.3,2013.6,Basu2022_ObsPack
INU,"Inuvik,Northwest Territories",Canada,68.3178,-133.5342,113.0,EC,44455,2012.1,2017.5,Basu2022_ObsPack
INX,INFLUX (Indianapolis Flux Experiment),United States,39.5805,-86.4207,,NOAA,2625,2010.8,2019.8,Basu2022_ObsPack
IPR,Ispra,Italy,45.807,8.63,223.0,IES,57560,2007.8,2017.0,Basu2022_ObsPack
ITN,"Grifton, North Carolina",United States,35.365,-77.393,8.0,NOAA,1181,1992.6,1999.4,Basu2022_ObsPack
IZO,"Izana, Tenerife, Canary Islands",Spain,28.309,-16.499,2372.9,AEMET; NOAA,130535,1991.9,2019.9,Basu2022_ObsPack
JFJ,Jungfraujoch,Switzerland,46.55,7.987,3570.0,EMPA; MPI-BGC,100978,2005.1,2018.0,Basu2022_ObsPack
KAS,"Kasprowy Wierch, High Tatra",Poland,49.2325,19.9818,1989.0,AGH,24909,2009.1,2013.0,Basu2022_ObsPack
KCO,Kaashidhoo,Republic of Maldives,4.97,73.47,1.0,NOAA,89,1998.2,1999.5,Basu2022_ObsPack
KEY,"Key Biscayne, Florida",United States,25.6654,-80.158,1.0,NOAA,2869,1983.8,2019.9,Basu2022_ObsPack
KJO,Kjölnes,Norway,70.8531,29.2358,5.0,MPI-BGC,94,2014.8,2016.1,Basu2022_ObsPack
KMP,Kumpula,Finland,60.2039,24.9608,26.0,FMI,64738,2010.1,2018.0,Basu2022_ObsPack
KOR,Akademik Korolev,N/A,-1.600000023841858,160.0,,NOAA,99,1987.4,1987.6,Basu2022_ObsPack
KPA,"Kitt Peak, Arizona",United States,32.0,-112.0,2083.0,NOAA,68,1983.3,1989.8,Basu2022_ObsPack
KRS,Karasevoe,Russia,58.2456,82.4244,76.0,NIES,135853,2004.7,2018.0,Basu2022_ObsPack
KUM,"Cape Kumukahi, Hawaii",United States,19.7371,-155.0116,0.3,NOAA,8279,1983.3,2020.0,Basu2022_ObsPack
KZD,Sary Taukum,Kazakhstan,44.0839,76.8712,595.0,NOAA,1129,1997.8,2009.6,Basu2022_ObsPack
KZM,Plateau Assy,Kazakhstan,43.25,77.88,2519.0,NOAA,1125,1997.8,2009.6,Basu2022_ObsPack
LAC,LA Megacities,United States,34.0,-118.2,100.0,NOAA,753,2014.8,2017.8,Basu2022_ObsPack
LAU,Lauder,New Zealand,-45.04,169.68,370.0,NIWA,1245,2007.0,2018.0,Basu2022_ObsPack
LEF,"Park Falls, Wisconsin",United States,45.9451,-90.2732,472.0,NOAA,204017,1994.9,2020.1,Basu2022_ObsPack
LEW,"Lewisburg, Pennsylvania",United States,40.9447,-76.8789,161.0,NOAA,851,2013.2,2020.1,Basu2022_ObsPack
LLB,"Lac La Biche, Alberta",Canada,54.9538,-112.4666,540.0,EC; NOAA,76266,2007.3,2017.4,Basu2022_ObsPack
LLE,Long Lines Expedition,N/A,-39.02000045776367,1.0,,NOAA,39,1983.8,1984.1,Basu2022_ObsPack
LLN,Lulin,Taiwan,23.47,120.87,2862.0,NOAA,1382,2006.6,2020.0,Basu2022_ObsPack
LMP,Lampedusa,Italy,35.52,12.62,45.0,ENEA; NOAA,32702,2000.0,2019.9,Basu2022_ObsPack
LPO,Ile Grande,France,48.8036,-3.5839,10.0,LSCE,272,2004.9,2013.7,Basu2022_ObsPack
MAA,"Mawson Station, Antarctica",Australia,-67.617,62.867,32.0,CSIRO,765,2000.0,2017.0,Basu2022_ObsPack
MBC,"Mould Bay, Northwest Territories",Canada,76.247,-119.3533,30.0,NOAA,1992,1983.3,1997.4,Basu2022_ObsPack
MBO,Mt. Bachelor Observatory,United States,43.9775,-121.6861,2731.0,NOAA,1714,2011.8,2020.1,Basu2022_ObsPack
MCI,Mid Continent Intensive,United States,40.25,-87.08999633789062,,NOAA,184,2007.4,2009.0,Basu2022_ObsPack
MCM,"McMurdo Station, Antarctica",United States,-77.83,166.6,11.0,NOAA,89,1985.9,1987.8,Basu2022_ObsPack
MDM,Madonie Mountains,Italy,37.88,14.03,1650.0,ENEA,400,2005.2,2017.9,Basu2022_ObsPack
MEX,High Altitude Global Climate Observation Center,Mexico,18.9841,-97.311,4464.0,NOAA,889,2009.0,2019.9,Basu2022_ObsPack
MHD,"Mace Head, County Galway",Ireland,53.326,-9.899,5.0,AGAGE; LSCE; NOAA,218940,1991.4,2020.0,Basu2022_ObsPack
MID,"Sand Island, Midway",United States,28.21,-177.38,11.0,NOAA,3461,1985.3,2020.0,Basu2022_ObsPack
MKN,Mt. Kenya,Kenya,-0.0622,37.2972,3644.0,NOAA,315,2004.0,2011.5,Basu2022_ObsPack
