site_code,site_name,country,latitude,longitude,elevation_m,lab,project,n_observations,year_start,year_end,file
CGO,"Cape Grim, Tasmania",Australia,-40.683,144.69,94.0,AGAGE,surface-highfreq,187149,2000.0,2018.0,ch4_CGO_surface_highfreq_AGAGE.nc
CHL,"Churchill, Manitoba",Canada,58.7379,-93.8194,29.0,EC,surface-flask,737,2007.3,2016.0,ch4_CHL_surface_event_EC.nc
CHL,"Churchill, Manitoba",Canada,58.7379,-93.8194,29.0,EC,surface-insitu,35765,2011.8,2017.3,ch4_CHL_surface_hourly_EC.nc
CHM,"Chibougamau, Quebec",Canada,49.6925,-74.3432,393.0,EC,surface-insitu,24019,2007.6,2011.3,ch4_CHM_surface_hourly_EC.nc
CHR,Christmas Island,Republic of Kiribati,1.7,-157.1518,0.0,NOAA,surface-flask,2397,1984.2,2019.8,ch4_CHR_surface_event_NOAA.nc
CHS,Cherskii,Russia,68.5135,161.5313,30.0,NOAA,surface-insitu,109083,2008.6,2016.1,ch4_CHS_surface_hourly_NOAA.nc
CIB,Centro de Investigacion de la Baja Atmosfera (CIBA),Spain,41.81,-4.93,845.0,NOAA,surface-flask,995,2009.3,2019.9,ch4_CIB_surface_event_NOAA.nc
CMA,"Offshore Cape May, New Jersey",United States,38.83,-74.32,0.0,NOAA,aircraft-flask,2824,2005.6,2020.0,ch4_CMA_aircraft_event_NOAA.nc
CMN,Mt. Cimone Station,Italy,44.1936,10.6999,2165.0,UNIURB,surface-insitu,78681,2008.5,2018.0,ch4_CMN_surface_hourly_UNIURB.nc
CMO,"Cape Meares, Oregon",United States,45.478,-123.9689,30.0,NOAA,surface-flask,1063,1983.3,1998.2,ch4_CMO_surface_event_NOAA.nc
COB,COBRA,N/A,45.0,-90.98,-9999.99,NOAA,aircraft-flask,652,1999.4,2003.5,ch4_COB_aircraft_event_NOAA.nc
COI,Cape Ochi-ishi,Japan,43.1603,145.4974,45.0,NIES,surface-insitu,136493,2000.0,2016.0,ch4_COI_surface_hourly_NIES.nc
CON,CONTRAIL (Comprehensive Observation Network for TRace gases by AIrLiner),,3.82,146.09,-9999.99,NIES,aircraft-flask,2400,2005.9,2017.9,ch4_CON_aircraft_event_NIES.nc
COS,Cosmos,Peru,-12.12,-75.33,4600.0,NOAA,surface-flask,2,1984.6,1984.6,ch4_COS_surface_event_NOAA.nc
CPS,"Chapais,Quebec",Canada,49.8223,-74.9753,391.0,EC,surface-insitu,44244,2012.0,2017.4,ch4_CPS_surface_hourly_EC.nc
CPT,Cape Point,South Africa,-34.3523,18.4891,230.0,NOAA,surface-flask,688,2010.1,2019.9,ch4_CPT_surface_event_NOAA.nc
CPT,Cape Point,South Africa,-34.3523,18.4891,230.0,SAWS,surface-insitu,114400,2000.0,2017.0,ch4_CPT_surface_hourly_SAWS.nc
CRI,Cape Rama,India,15.08,73.83,60.0,CSIRO,surface-flask,230,2000.0,2013.0,ch4_CRI_surface_event_CSIRO.nc
CRV,Carbon in Arctic Reservoirs Vulnerability Experiment (CARVE),United States,64.9863,-147.598,611.43,NOAA,aircraft-flask,2543,2011.2,2017.8,ch4_CRV_aircraft_event_NOAA.nc
CRV,Carbon in Arctic Reservoirs Vulnerability Experiment (CARVE),United States,64.9863,-147.598,611.43,NOAA,surface-flask,1532,2011.8,2019.9,ch4_CRV_surface_event_NOAA.nc
CRV,Carbon in Arctic Reservoirs Vulnerability Experiment (CARVE),United States,64.9863,-147.598,611.43,NOAA,surface-insitu,194916,2011.8,2020.1,ch4_CRV_surface_hourly_NOAA.nc
CRZ,Crozet Island,France,-46.4337,51.8478,197.0,NOAA,surface-flask,2066,1991.2,2019.8,ch4_CRZ_surface_event_NOAA.nc
CVO,Cape Verde Observatory,Cabo Verde,16.864,-24.8675,10.0,MPI-BGC,surface-flask,1207,2007.2,2017.3,ch4_CVO_surface_event_MPI-BGC.nc
CYA,"Casey, Antarctica",Australia,-66.283,110.517,47.0,CSIRO,surface-flask,679,2000.0,2017.0,ch4_CYA_surface_event_CSIRO.nc
DEM,Demyanskoe,Russia,59.7914,70.8711,63.0,NIES,surface-insitu,126901,2005.6,2018.0,ch4_DEM_surface_hourly_NIES.nc
DEU,Deuselbach,Germany,49.77,7.05,480.0,UBA,surface-insitu,33820,2000.0,2004.6,ch4_DEU_surface_hourly_UBA.nc
DND,"Dahlen, North Dakota",United States,47.5,-99.24,472.44,NOAA,aircraft-flask,2192,2004.7,2016.9,ch4_DND_aircraft_event_NOAA.nc
DRP,Drake Passage,N/A,-59.0,-64.69,0.0,NOAA,surface-flask,642,2003.3,2019.9,ch4_DRP_surface_event_NOAA.nc
