Year,Lifetime_NH,Lifetime_SH,Source_NH_Tg,Source_SH_Tg,Source_Global_Tg,BB_NH_mean,BB_NH_std,FF_NH_mean,FF_NH_std,Mic_NH_mean,Mic_NH_std,BB_SH_mean,BB_SH_std,FF_SH_mean,FF_SH_std,Mic_SH_mean,Mic_SH_std,BB_Global_mean,BB_Global_std,FF_Global_mean,FF_Global_std,Mic_Global_mean,Mic_Global_std
2009,8.566149999999999,9.46785,435.03241150633625,142.18457517454402,577.2169866808803,0.22185896607320665,1.8265099572478536,190.95411483744806,19.213364318819707,243.8564377027912,19.194470388222264,20.72691766758902,5.118192835272398,1.2317696744436033e-11,6.063889118255753e-11,121.45765750694542,5.118192835275342,20.948776633662227,5.659573004810558,190.95411483746037,19.21336431882123,365.3140952097366,24.03399304097296
2010,8.549999999999999,9.450000000000001,436.1123290045767,140.5164430699333,576.6287720745099,0.16655068920016936,1.398874152559654,191.24995375624505,19.09510488477132,244.69582455910952,19.134754010575676,22.65662727259926,5.015410301008057,1.1510933098346138e-11,5.888849467113905e-11,117.85981579732511,5.0154103010098305,22.82317796179943,5.398032940194478,191.24995375625662,19.095104884773484,362.55564035643465,23.825872328626446
2011,8.53385,9.432150000000002,439.7604725691748,141.43409293518272,581.1945655043576,0.01842390685899746,0.39658996993657786,190.59749841847977,19.508320920807748,249.14455024380783,19.51222816681238,24.12472776641017,4.955552177136026,1.2114642501269897e-11,6.453760795572628e-11,117.30936516876189,4.955552177138326,24.143151673269166,4.986363757869391,190.5974984184919,19.508320920807446,366.45391541256976,24.125699365069774
2012,8.5177,9.414299999999999,442.8934872666309,141.82342412494393,584.7169113915749,1.2658403277788768,4.642172232812567,196.150249708467,18.738309034757574,245.47739723037137,18.395768547290846,23.43400610731984,5.116516110332859,2.4236303564788896e-09,7.605443047072359e-08,118.38941801520082,5.116516112646802,24.699846435098713,7.916568374190504,196.1502497108906,18.738309036548365,363.8668152455722,23.013224619443957
2013,8.50155,9.39645,451.09412048905136,147.27436188225096,598.3684823713023,0.2546483414214948,1.7750599093523307,202.48024412555847,19.127167920589343,248.35922802205087,19.163175640305955,22.557709556509696,5.197344528963681,7.897289852989112e-07,2.4960373520633038e-05,124.71665153601515,5.197342986862904,22.812357897931193,5.759112959794139,202.48024491528747,19.12716586859499,373.0758795580661,24.044647991658174
2014,8.4854,9.3786,458.0564556329236,151.42471638097902,609.4811720139026,0.30822374837267125,2.105084260694111,210.70881995234743,18.914379128158167,247.0394119321838,18.967293922576737,27.193721993402942,5.327812358882848,1.1655241386357544e-11,5.5187980132247836e-11,124.23099438756748,5.327812358882584,27.501945741775614,6.079971163733413,210.70881995235908,18.914379128156664,371.27040631975126,23.90243701939601
2015,8.469249999999999,9.36075,457.903354426628,148.4182019743052,606.3215564009332,0.07632689275434106,0.8687214542588366,194.9646561845376,20.023246443071734,262.8623713493119,20.068084864137525,24.405236514923907,5.303749938750947,3.1735284395960564e-06,0.00010030495913463008,124.01296228585505,5.303751877904479,24.481563407678244,5.459662967032026,194.964659358066,20.023248838313037,386.875333635167,25.028983036597765
2016,8.4531,9.3429,457.8942220666408,145.59898422245283,603.4932062890937,0.08221700354132463,1.057550751373314,192.8234757707041,20.276678822185534,264.9885292923707,20.274993831610637,23.750903941463633,5.136999129850285,7.689400754883187e-06,0.000243038222710653,121.8480725915907,5.1370049174204935,23.833120945004957,5.320782093706617,192.82348346010485,20.276683537029275,386.83660188396135,25.08189993634062
2017,8.43695,9.325050000000001,462.6865947913966,147.6180162687957,610.3046110601923,0.22070318290090254,1.6673531010122704,193.2124329546652,20.46639812041205,269.2534586538085,20.53606521360301,19.319117998327922,5.333796650980374,1.767656402975075e-11,8.800343937222345e-11,128.29889827045116,5.333796650984797,19.539821181228824,5.844212562120516,193.21243295468284,20.4663981204079,397.5523569242596,25.54339761851639
2018,8.4208,9.307200000000002,467.9968836173781,150.13318079130886,618.130064408687,0.21645234824754714,1.61410169995612,210.48524039863835,19.868273699647816,257.29519087047055,19.906091640840312,24.238250512876732,5.375265167163357,1.2754688234276279e-11,5.7535514300259846e-11,125.89493027842217,5.375265167164996,24.454702861124282,5.822876110205004,210.48524039865111,19.86827369964845,383.1901211488927,24.92215582192036
2019,8.404649999999998,9.28935,475.81796329875266,155.1338776324564,630.9518409312091,0.8726698313973134,4.088709431041064,193.24253896058778,21.10748554780159,281.7027545067499,20.95016811063419,21.61907805417792,5.671568923827755,3.342508827451864e-10,9.743970480193544e-09,133.51479957794325,5.6715689238332825,22.491747885575233,7.83839530479588,193.24253896092205,21.107485547648707,415.2175540846932,26.131318203523595
2020,8.3885,9.2715,485.4345413269585,161.87910051285007,647.3136418398085,0.10831395369740142,1.15662306934595,192.49332564635688,22.010739542153257,292.8329017268781,22.054106959640453,25.822475389352352,5.616483058079194,1.7835856944476108e-11,8.525672249778511e-11,136.05662512348303,5.616483058080472,25.930789343049753,5.847392183708965,192.49332564637473,22.01073954215309,428.88952685036116,27.315270435849335
2021,8.37235,9.25365,490.37165412470534,163.87918120651125,654.2508353312166,0.0157562341197998,0.46891470279056074,194.5684739566201,22.44334745936981,295.7874239339337,22.44043614398533,23.396697656846346,5.832829304854114,1.2888073374815995e-10,3.5398746028757285e-09,140.48248354953856,5.8328293048915665,23.412453890966145,5.861855922126195,194.56847395674896,22.443347459388285,436.2699074834723,27.959947162378885
