Year,BB_G_mean,BB_G_std,FF_G_mean,FF_G_std,Mic_G_mean,Mic_G_std,BB_NHext_mean,BB_NHext_std,FF_NHext_mean,FF_NHext_std,Mic_NHext_mean,Mic_NHext_std,BB_Trop_mean,BB_Trop_std,FF_Trop_mean,FF_Trop_std,Mic_Trop_mean,Mic_Trop_std,BB_SHext_mean,BB_SHext_std,FF_SHext_mean,FF_SHext_std,Mic_SHext_mean,Mic_SHext_std
2009,36.27772446646539,9.798924292401976,172.3873002202004,17.349153613565434,384.99928013561055,22.30839616521125,25.01938256320644,4.819413371286941,0.00012792186949941295,0.0034694156861936843,132.1707552740228,5.346606322936098,0.03402906927295106,0.33662243645809714,144.17601864691048,15.11414024284934,181.36604373366495,15.761910806038575,11.224312833985996,6.1584176738649115,28.211153651420425,10.893889577734694,71.46248112792283,6.323852742940996
2010,34.84798844312466,9.09802229380745,179.69332403752628,17.271693043010956,381.7338087472579,22.479579846566075,25.52882496290783,4.831798536886286,0.00012493173803211177,0.003465460156886476,132.26756841806963,5.358608259161058,0.03402906927296405,0.33662243645833306,146.22358849285342,15.053453407908444,180.74246261046127,15.712116797415824,9.285134410943865,5.424558537114115,33.469610612934815,9.572775213326256,68.72377771872706,5.847919925426778
2011,33.972615240920305,8.945678290861904,183.99723873032676,17.501893750036757,382.58267358931835,22.67779444248933,25.871687266196215,4.864262475917722,8.929062440618562e-06,0.00013547575757488875,132.9479323368374,5.38770219223507,0.07954889948506182,0.6102919168366219,147.2749515831247,15.034660215376427,181.9023998325681,15.743406463891603,8.021379075239027,5.1968458920134415,36.72227821813965,9.208755659504446,67.73234141991286,5.783321912389794
2012,32.106351846499585,8.608934975603363,194.78127131171942,17.898766384179886,380.1791863992824,22.8530480993502,26.619495019784896,4.90580529746527,9.313115201361148e-06,0.00013634722385023377,133.77923805168956,5.42092919150211,0.05116753676755022,0.43461355508081434,150.5731915790825,15.050834078750963,182.01543237784088,15.717784306360645,5.435689289947138,5.013147228152784,44.208070419521725,9.123480603600076,64.38451596975202,5.819984166779677
2013,32.447035208902186,8.774124821399758,195.78131358849916,18.06544606522673,384.8476781427553,23.071847245429634,26.834701569424368,4.965813326977702,7.536861639417986e-06,0.00011453016324347099,135.00947281844196,5.48195775590749,0.051167536748324825,0.43461355508321997,151.24783578301867,15.154358100383218,184.48869087345804,15.848044912915995,5.5611661027294925,5.127168942103134,44.53347026861884,9.23757869902732,65.34951445085534,5.889596060497035
2014,33.553153025620965,9.170022279622263,193.84137784370938,18.147892444448143,390.2187720094081,23.132233174431782,26.886791895248773,5.000820271557599,4.584401190257333e-06,6.653201263606788e-05,136.02930307732294,5.518826130593359,0.049368721114789564,0.418301145711324,151.39770041992497,15.265877052066406,186.7656772399272,15.961743788384277,6.616992409257401,5.517950632068946,42.44367283938322,9.850241554992627,67.423791692158,6.108352284292174
2015,34.90680084750341,9.964637093454357,188.21156572309508,18.51080127116871,399.6924016047305,23.26471014712116,26.525965742432017,5.041961474785828,1.945995468814148e-06,3.5638395192055594e-05,137.62518538337147,5.560369205210479,0.049368721114352226,0.4183011457119757,149.99156391269517,15.503957080473837,190.93151262322974,16.199852283307795,8.331466383957043,6.3185909058265315,38.219999864404485,11.249599924250838,71.13570359812927,6.645554558520963
2016,36.67189540308377,10.460799143593563,186.8597743734084,18.61616576341689,403.3151398631128,23.266271828754693,26.79779057671842,5.077372740556209,4.181824415296894e-06,8.915008014859169e-05,138.29500125183893,5.596189008875343,0.0038488909027520036,0.09074450472109957,151.24510334035202,15.669168173834926,191.90973420750706,16.31422985508083,9.870255935462593,6.869156626059032,35.61466685123193,12.207251913963713,73.11040440376676,6.971117835314175
2017,35.033623794388916,9.922429422287609,184.55275196202064,18.71341581135432,411.63874800275363,23.919879000000353,25.901723888367982,5.128081272502988,3.797668347852768e-06,8.778886960866755e-05,140.21791320199637,5.6455500897249,5.255481192070006e-12,1.2332390331875437e-11,148.22373332583928,16.018702160617746,197.2932306561501,16.64650808818618,9.131899906015683,6.212790469994288,36.329014838513004,10.942746865154446,74.12760414460716,6.501879831280809
2018,33.30755467294053,9.325268665868013,188.4346210747917,18.9461839550659,417.7668601974008,24.5177766303964,25.835107416143714,5.178027723434228,2.7413454522306666e-06,8.272060165108119e-05,142.28671800666436,5.707670649646496,0.0026705001796592047,0.05822864669027793,148.47118376541218,16.271481585878835,201.35671954542556,16.952564337666846,7.469776756617154,5.506941023651036,39.96343456803409,9.6929665330037,74.12342264531087,6.129688389933356
2019,31.920821562834078,8.81186095534166,191.53484649526288,19.441562934063395,426.3015425054234,25.328827574630594,25.89558987845099,5.281200464701302,2.7397674939219985e-06,8.272063893612591e-05,144.7105223087229,5.801467033992355,0.0026705001802655353,0.05822864669024816,148.31307748302177,16.626798095015538,206.83179433295982,17.298262654039807,6.022561184202817,4.829162311494494,43.22176627247361,8.485639166159954,74.7592258637407,5.837735577096033
2020,30.876460772638033,8.356007421307941,196.52283461838516,19.898133402750585,427.87598751278426,25.802494734836284,26.131620103477708,5.336259821632975,3.4247084234221237e-06,0.00010340079870123757,145.81645656307344,5.85285709152694,0.0033381252240967394,0.07278580836286683,149.54346223928385,16.73841048541436,208.45308561014136,17.415534935389026,4.741502543936233,4.328064085688525,46.97936895439287,7.820365444193647,73.60644533956948,5.73328836527093
2021,27.61778802616005,7.541682381294434,198.8482986305686,20.952571858811293,435.37184885005667,26.78164675453342,25.34087570925287,5.39823129596241,2.090909354002623e-07,6.605456361850989e-06,148.20591987637053,5.922222729579041,0.0044508336297597794,0.0970477444839311,147.09837716768146,17.07031571923528,214.2820904620203,17.77593092199474,2.2724614832774206,3.410770413016103,51.74992125379622,6.8044649436254705,72.88383851166577,5.739191552983027
